model,instructed_notation,n_violations,compliance_rate,ci95,n_samples
Qwen2.5-Coder-3B,camel,0,1.0000,0.0000,42
Qwen2.5-Coder-3B,camel,1,0.9762,0.0461,42
Qwen2.5-Coder-3B,camel,2,0.7619,0.1288,42
Qwen2.5-Coder-3B,camel,3,0.6429,0.1449,42
Qwen2.5-Coder-3B,camel,4,0.5476,0.1505,42
Qwen2.5-Coder-3B,camel,5,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,6,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,7,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,8,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,9,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,10,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,11,0.0000,0.0000,42
Qwen2.5-Coder-3B,camel,12,0.0000,0.0000,42
Qwen2.5-Coder-3B,snake,0,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,1,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,2,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,3,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,4,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,5,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,6,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,7,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,8,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,9,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,10,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,11,1.0000,0.0000,42
Qwen2.5-Coder-3B,snake,12,1.0000,0.0000,42
stable-code-3b,camel,0,0.7143,0.1366,42
stable-code-3b,camel,1,0.3333,0.1426,42
stable-code-3b,camel,2,0.1667,0.1127,42
stable-code-3b,camel,3,0.0714,0.0779,42
stable-code-3b,camel,4,0.0714,0.0779,42
stable-code-3b,camel,5,0.0000,0.0000,42
stable-code-3b,camel,6,0.0000,0.0000,42
stable-code-3b,camel,7,0.0000,0.0000,42
stable-code-3b,camel,8,0.0000,0.0000,42
stable-code-3b,camel,9,0.0000,0.0000,42
stable-code-3b,camel,10,0.0000,0.0000,42
stable-code-3b,camel,11,0.0000,0.0000,42
stable-code-3b,camel,12,0.0000,0.0000,42
stable-code-3b,snake,0,1.0000,0.0000,42
stable-code-3b,snake,1,1.0000,0.0000,42
stable-code-3b,snake,2,1.0000,0.0000,42
stable-code-3b,snake,3,1.0000,0.0000,42
stable-code-3b,snake,4,1.0000,0.0000,42
stable-code-3b,snake,5,0.9762,0.0461,42
stable-code-3b,snake,6,0.9762,0.0461,42
stable-code-3b,snake,7,0.9762,0.0461,42
stable-code-3b,snake,8,0.9286,0.0779,42
stable-code-3b,snake,9,1.0000,0.0000,42
stable-code-3b,snake,10,0.9762,0.0461,42
stable-code-3b,snake,11,0.9762,0.0461,42
stable-code-3b,snake,12,0.8810,0.0979,42
